token,buy_price,notifications,up_multiplier,down_multiplier,last_checked
3psH1Mj1f7yUfaD5gh6Zj7epE8hhrMkMETgv5TshQA4o,0.2902,t,2,0.75,0.1055
8XVXzmsMMw7ufa8RC21fHcDP6TGti5y3ZidQinnYurqr,0.001535,t,2,0.75,0.0001866
FU1q8vJpZNUrmqsciSjp8bAKKidGsLmouB8CBdf8TKQv,1.11,t,2,0.75,0.6158
DFEGRaRWUkL3zoqzwuJayRYiRL85ud9mCPybdZbAqZwY,0.0001911,t,2,0.75,1.592e-05
BPGN6jP2aQDwx38MMTVskWv7iAwimFS24NaFE6rkr1dg,0.0003512,t,2,0.75,3.053e-05
8XAy334rK8ESoJUeE4mjj2U356NamyUdEwwaYEcd2VJ6,0.0002053,t,2,0.75,1.065e-05
LVJZXptvfVgBA2nBFQPG2L7oScAQapUFZ2Hej3xxXdD,0.0003815,t,2,0.75,1.457e-05
7G7SMGV9nSG316ykk6iobjMZWa8GZb15Wd25kgaZGTaZ,0.002333,t,2,0.75,0.002525
